id,Name,Agency,AgencyEmail,Game,CountryLocation,MainVertical,InstagramFollowers,InstagramLink,YoutubeFollowers,YoutubeLink,TwitchFollowers,TwitchLink,TiktokFollowers,TiktokLink,TwitterFollowers,TwitterLink,updatedBy
213,Auron Play ,,,MULTI,SPAIN,GAMER,18800000,https://www.instagram.com/auronplay/,29200000,https://www.youtube.com/channel/UCyQqzYXQBUWgBTn4pw_fFSQ,15400000,https://www.twitch.tv/auronplay,2000000,https://www.tiktok.com/@auronplay,19700000,https://twitter.com/auronplay,43
214,Jelly,OP MEDIA AGENCY,James.Humphrys@opmedia.agency,MINECRAFT,UK,GAMER,1200000,https://www.instagram.com/jelly/,23500000,https://www.youtube.com/channel/UC0DZmkupLYwc0yDsfocLh0A,32300,https://www.twitch.tv/jellyyt,1800000,https://www.tiktok.com/@jelly,365400,https://twitter.com/jellyyt,43
215,Ali A,OP MEDIA AGENCY,James.Humphrys@opmedia.agency,,UK,GAMER,18700000,https://www.youtube.com/channel/UCYVinkwSX7szARULgYpvhLw,2200000,https://www.instagram.com/alia/,1700000,https://www.tiktok.com/@alia?lang=en,2400000,https://www.tiktok.com/@channel,285000,https://twitter.com/@alia?lang=en,43
216,Sapnap,NIGHT MEDIA,zach.kardisch@night.co,MINECRAFT,USA,GAMER,2100000,https://www.instagram.com/sapnapinsta/,4680000,https://www.youtube.com/@Sapnap,3300000,https://www.twitch.tv/sapnap,2200000,https://www.tiktok.com/@sapnapinsta,3400000,https://twitter.com/sapnap,43
217,Typical Gamer,NIGHT MEDIA,zach.kardisch@night.co,MULTI,USA,GAMER,723000,https://www.instagram.com/typicalgamer/,13500000,https://www.youtube.com/@TypicalGamer,239000,https://www.twitch.tv/typicalgamer,1800000,https://www.tiktok.com/@typicalgamer,1000000,https://twitter.com/typicalgamer,43
218,Top5Gaming,NIGHT MEDIA,zach.kardisch@night.co,FORTNITE,USA,GAMER,723000,https://www.instagram.com/typicalgamer/,13500000,https://www.youtube.com/@TypicalGamer,239000,https://www.twitch.tv/typicalgamer,1800000,https://www.tiktok.com/@typicalgamer,1000000,https://twitter.com/typicalgamer,43
219,GothamChess,NIGHT MEDIA,zach.kardisch@night.co,CHESS,USA,GAMER,763000,https://www.instagram.com/gothamchess/,3980000,https://www.youtube.com/@GothamChess,987000,https://www.twitch.tv/gothamchess,1400000,https://www.tiktok.com/@gothamchess,328200,https://twitter.com/gothamchess,43
220,Neekolul,NIGHT MEDIA,zach.kardisch@night.co,MULTI,USA,GAMER,701000,https://www.instagram.com/neekolul/?hl=en,85200,https://www.youtube.com/@neekolul,436000,https://www.twitch.tv/neeko,1100000,https://www.tiktok.com/@neekolul,696900,https://twitter.com/neeko,43
221,Jesser,NIGHT MEDIA,zach.kardisch@night.co,MULTI,USA,GAMER,981000,https://www.instagram.com/jesser/,14400000,https://www.youtube.com/@Jesser,,,2000000,https://www.tiktok.com/@jesser,473300,https://twitter.com/jesser,43
222,LazarBeam,NIGHT MEDIA,zach.kardisch@night.co,MULTI,USA,GAMER,2600000,https://www.instagram.com/lazarbeamyt/,20500000,https://www.youtube.com/@LazarBeam,,,9900000,https://www.tiktok.com/@lazarbeamyt,2400000,https://twitter.com/Lazarbeam,43
223,Joe Bartaloozi,NIGHT MEDIA,zach.kardisch@night.co,MULTI,USA,GAMER,355000,https://www.instagram.com/joe.bartolozzi/,1500000,https://www.youtube.com/@JoeBartolozzi,1300000,https://www.twitch.tv/joe_bartolozzi,22800000,https://www.tiktok.com/@joe.bartolozzi,17700,https://twitter.com/JoeBartolozzi_?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,43
224,Carter Sharer,NIGHT MEDIA,zach.kardisch@night.co,MULTI,USA,GAMER,827000,https://www.instagram.com/cartersharer/,10000000,https://www.youtube.com/@CarterSharer/about,,,6100000,https://www.tiktok.com/@cartersharer,17100,https://twitter.com/CarterSharer,43
225,Matthew Beam,NIGHT MEDIA,zach.kardisch@night.co,MULTI,USA,GAMER,97400,https://www.instagram.com/matthewbeem/,4380000,https://www.youtube.com/@MatthewBeem,,,804600,https://www.tiktok.com/@matthewbeem,16100,https://twitter.com/MatthewBeem,43
226,"Dream
",NIGHT MEDIA,zach.kardisch@night.co,MINECRAFT,USA,GAMER,3000000,https://www.instagram.com/DreamWasTaken/,31700000,https://www.youtube.com/@dream/featured,6400000,https://www.twitch.tv/Dream,7100000,https://www.tiktok.com/@DreamWasTaken,6000000,https://twitter.com/Dream,43
227,George (GeorgeNotFound),NIGHT MEDIA,ibrahim@night.co,One of the largest streamers on Twitch. George holds 2 WORLD RECORDS when it comes to live streaming. One for most viewers of a cooking live stream (300K+ CONCURRENT VIEWERS) and one for most viewers of a hot tub stream (~400K CONCURRENT VIEWERS),USA,GAMER,2800000,https://www.instagram.com/GeorgeNotFound/,10400000,https://www.youtube.com/@GeorgeNotFound,5100000,https://www.twitch.tv/georgenotfound,9100000,https://www.tiktok.com/@GeorgeNotFound,4000000,https://twitter.com/georgenotfound,43
228,Mike Show,,,FIFA,ITALY,GAMER,1300000,https://www.instagram.com/mike_showsha/,3290000,https://www.youtube.com/channel/UCfZFwPGOpbWk0z0Fk7tU6yA,721000,https://www.twitch.tv/mikeshowsha,474000,https://www.tiktok.com/@mike_showsha,19900,https://twitter.com/mikeshowsha,43
229,Gotaga,BUMP ,alexandre.lennuyeux@bump.fr,FORMER CALL OF DUTY,FRANCE,GAMER,1500000,https://www.instagram.com/gotaga/,4060000,https://www.youtube.com/@Gotaga/about,4000000,https://www.twitch.tv/Gotaga,981300,https://www.tiktok.com/@gotaga,1800000,https://twitter.com/Gotaga,43
230,"Markiplier
",,vnisim@icloud.com,MULTI,USA,GAMER,11500000,https://www.instagram.com/markiplier/,35100000,https://www.youtube.com/channel/UC7_YxT-KID8kRbqZo7MyscQ,2500000,https://www.twitch.tv/markiplier,6300000,https://www.tiktok.com/@markiplier,13900000,https://twitter.com/markiplier,43
231,"Squeezie 
",BUMP ,alexandre.lennuyeux@bump.fr,MULTI,FRANCE,GAMER,8300000,https://www.instagram.com/xsqueezie/,4610000,https://www.youtube.com/channel/UCY-_QmcW09PHAImgVnKxU2g,4300000,https://www.twitch.tv/squeezie,4900000,https://www.tiktok.com/@xsqueezie,266400,https://twitter.com/squeezie,43
232,"MPL Indonesia
",,,MULTI,INDONESIA,GAMER,6100000,https://www.instagram.com/mpl.id.official/?hl=en,3660000,https://www.youtube.com/@MPLIndonesia/featured,,,3800000,https://www.tiktok.com/@mpl.id.official,106400,https://twitter.com/mplidofficial,43
233,"Liu ""PDD"" Mou",,,LEAGUE OF LEGENDS,CHINA,GAMER,,,,,,,,,,,43
234,"Chen ""Cat"" ZhengzhenG",,liuyu@egm.top,ARENA OF VALOR,CHINA,GAMER,,,,,,,,,,,43
235,"El Mariana
",,,MULTI,MEXICO,GAMER,8300000,https://www.instagram.com/elmarianaa/,6290000,https://www.youtube.com/channel/UC52YgT6TITyBpck82V_N_8g,8000000,https://www.twitch.tv/elmariana,12500000,https://www.tiktok.com/@elmarianaa,9300000,https://twitter.com/elmariana,43
236,"Juan Alberto
",,,MULTI,MEXICO,GAMER,1200000,https://www.instagram.com/illojuan/,1670000,https://www.youtube.com/@IlloJuan_,3400000,https://www.twitch.tv/illojuan,663700,https://www.tiktok.com/@illojuan,1700000,https://twitter.com/illojuan,43
237,Shakach,MANAGER JON,jon@managerjon.com,MULTI,JAPAN,GAMER,,,770000,https://www.youtube.com/@SHAKAch/,,,1100000,,,,43
238,Kato Junichi,MANAGER JON,jon@managerjon.com,MULTI,JAPAN,GAMER,,,1180000,https://www.youtube.com/@junchannel,774000,https://www.twitch.tv/kato_junichi0817,,,,,43
239,Andreas 'Cr1t' Nielsen,UNDERSCORE TALENT,bill@underscoretalent.com,DOTA,DENMARK,GAMER,63200,https://www.instagram.com/cr1tdota/,9600,https://www.youtube.com/channel/UCw1EK209-kdn-LVdCvHBj9g,236200,https://www.twitch.tv/cr1tdota,,,152700,https://twitter.com/cr1tdota,43
240,"Anthony ""Methodz"" Zinni",UNDERSCORE TALENT,bill@underscoretalent.com,CALL OF DUTY,USA,GAMER,42500,https://www.instagram.com/methodz/,96300,https://www.youtube.com/channel/UCQJaDHNzEw4_DewBVDFyUsQ,234400,https://www.twitch.tv/methodz,23600,https://www.tiktok.com/@anthonyzinni,,,43
241,"Artour ""Arteezy"" Babaev ",UNDERSCORE TALENT,bill@underscoretalent.com,DOTA,USA,GAMER,,,,,763000,https://www.twitch.tv/arteezy,,,637800,https://twitter.com/Arteezy,43
242,Aydan Conrad,UNDERSCORE TALENT,bill@underscoretalent.com,CALL OF DUTY/FORTNITE,USA,GAMER,,,1400000,http://youtube.com/channel/UCD-JswJpUPu-ig2HvMtdWKQ,3000000,https://www.twitch.tv/aydan,,,,,43
243,"Brandon ""Dashy"" Otel",UNDERSCORE TALENT,bill@underscoretalent.com,CALL OF DUTY,USA,GAMER,,,110000,https://youtube.com/channel/UC_N8Z_mNIIHcZBBDF8pHhMQ,350700,https://www.twitch.tv/dashy,,,78000,http://instagram.com/brandondashy,43
244,Envoy,UNDERSCORE TALENT,bill@underscoretalent.com,CALL OF DUTY,USA,GAMER,,,103000,https://youtube.com/channel/UCbJ9eoPLLBAy6lvg1LHY2Fw,128900,https://www.twitch.tv/envoy,,,177900,http://twitter.com/DylanEnvoy,43
245,"Eric ""Snip3down"" Wrona",UNDERSCORE TALENT,bill@underscoretalent.com,HALO,USA,GAMER,,,122000,https://youtube.com/channel/UCjOhiS3IHTnguY74PWLl--w,620300,https://www.twitch.tv/snip3down,,,223400,http://twitter.com/Snip3down,43
246,"Matthew ""FormaL"" Piper",UNDERSCORE TALENT,bill@underscoretalent.com,CALL OF DUTY,USA,GAMER,,,261000,https://youtube.com/channel/UCzr91qFDgqPMOPg8xNijG8g,677000,https://www.twitch.tv/formal,,,947400,http://twitter.com/FormaL,43
247,Grim,UNDERSCORE TALENT,bill@underscoretalent.com,VALORANT,USA,GAMER,,,945000,http://youtube.com/channel/UCWphjEePrzIrRA5mwcOt_4Q,830000,https://www.twitch.tv/grimm,313500,https://www.tiktok.com/@grimval,,,43
248,Hector “H3CZ” Rodriguez,UNDERSCORE TALENT,bill@underscoretalent.com,MULTI,USA,GAMER,424400,http://instagram.com/hecz,965000,http://youtube.com/channel/UCuf9I2DBrN2E1fP5hTdMKlg,,,,,1000000,https://twitter.com/H3CZ,43
249,Davis ‘Hitch’ Edwards,UNDERSCORE TALENT,bill@underscoretalent.com,CALL OF DUTY,USA,GAMER,65600,http://instagram.com/hitchariide,181000,https://youtube.com/channel/UC5-8VMx6axaUnmlZNY3XPkA,258200,http://twitch.tv/hitchariide,,,323900,https://twitter.com/hitchariide,43
250,IceManIsaac,UNDERSCORE TALENT,bill@underscoretalent.com,CALL OF DUTY,USA,GAMER,,,543000,https://youtube.com/channel/UCoT7FaR2QO-YSplT4N5UIbg,277600,https://www.twitch.tv/icemanisaac,176200,https://www.tiktok.com/@icemanisaac,101300,https://twitter.com/IceManIsaac,43
251,"Kurtis ""Aui_000"" Ling",UNDERSCORE TALENT,bill@underscoretalent.com,VALORANT,CANADA,GAMER,,,,,80100,https://www.twitch.tv/aui_2000,,,134000,http://twitter.com/Aui_2000,43
252,Quinn Callahan,UNDERSCORE TALENT,bill@underscoretalent.com,DOTA 2,USA,GAMER,,,,,201800,https://www.twitch.tv/quinndota,,,26000,http://twitter.com/ccncdota2,43
253,ShivFPS,UNDERSCORE TALENT,bill@underscoretalent.com,APEX LEGENDS,UK,GAMER,,,334000,http://youtube.com/channel/UCjFfp-6SveBuMbQ95KVaTow,1500000,https://www.twitch.tv/shivfps,,,252000,https://twitter.com/ShivFPS,43
254,"Anthony ""Shotzzy"" Cuevas-Castro",UNDERSCORE TALENT,bill@underscoretalent.com,MULTI,USA,GAMER,,,252000,https://youtube.com/channel/UCmUPc8k5mKDG_496VyOhVBA,392800,http://twitch.tv/shotzzy,,,197400,https://twitter.com/Shotzzy,43
255,Sweetdreams,UNDERSCORE TALENT,bill@underscoretalent.com,APEX LEGENDS,USA,GAMER,,,134000,http://youtube.com/channel/UCCPK5LkmtBpvYu1UafCuh1g,827000,https://www.twitch.tv/sweetdreams,,,,,43
256,HusKerrs,UNDERSCORE TALENT,bill@underscoretalent.com,CALL OF DUTY,USA,GAMER,,,274000,https://www.youtube.com/channel/UCMp2PD8BA9bKE1gGOqL2B4Q,1200000,https://www.twitch.tv/huskerrs,,,,,43
257,LuluLuvely,UNITED TALENT AGENCY,paul.coggiola@unitedtalent.com,MULTI,USA,GAMER,324000,https://www.instagram.com/lululuvely/,804000,https://www.youtube.com/channel/UCt_6XVmrRDEeOOuSo1iunDg,1300000,https://www.twitch.tv/lululuvely,,,,,43
258,Rogue,UNITED TALENT AGENCY,paul.coggiola@unitedtalent.com,,USA,GAMER,,,,,803000,https://www.twitch.tv/rogue,,,,,43
259,LovelyLo,UNITED TALENT AGENCY,paul.coggiola@unitedtalent.com,CALL OF DUTY,USA,GAMER,,,,,200000,https://www.twitch.tv/lovelylo,,,,,43
260,Kyedae,UNITED TALENT AGENCY,paul.coggiola@unitedtalent.com,100 THIEVES,USA,GAMER,,,,,2600000,https://www.twitch.tv/kyedae,,,,,43
261,Acie,UNITED TALENT AGENCY,paul.coggiola@unitedtalent.com,,USA,GAMER,,,,,260800,https://www.twitch.tv/acie,,,,,43
262,DKayed,UNITED TALENT AGENCY,paul.coggiola@unitedtalent.com,Multi World Championship Duel Links Player,USA,GAMER,,,358000,https://www.youtube.com/@Dkayed,207000,https://www.twitch.tv/Dkayed,,,,,43
263,Will1us,UNITED TALENT AGENCY,paul.coggiola@unitedtalent.com,VALORANT,USA,GAMER,,,184000,http://youtube.com/channel/UCduRRsZ3eLwhLFyByEOaA1Q,189700,https://www.twitch.tv/will1us,698500,https://www.tiktok.com/@will1us,,,43
264,LVNDMARK,UNITED TALENT AGENCY,paul.coggiola@unitedtalent.com,FPS,USA,GAMER,,,451000,https://www.youtube.com/@LVNDMARK,1100000,https://www.twitch.tv/lvndmark,,,,,43
265,TeeP,UNITED TALENT AGENCY,paul.coggiola@unitedtalent.com,MULTI,USA,GAMER,,,,,997000,https://www.twitch.tv/teepee,,,,,43
266,SuperEvan,UNITED TALENT AGENCY,paul.coggiola@unitedtalent.com,,USA,GAMER,,,,,258000,https://www.twitch.tv/superevan,,,,,43
267,Noko,UNITED TALENT AGENCY,paul.coggiola@unitedtalent.com,,USA,GAMER,,,,,374000,https://www.twitch.tv/noko,,,,,43
268,Nuke Squad ,UNITED TALENT AGENCY,paul.coggiola@unitedtalent.com,,USA,GAMER,,,465000,https://www.youtube.com/@NukeSquad,,,,,,,43
269,Nightblue3,UNITED TALENT AGENCY,paul.coggiola@unitedtalent.com,,USA,GAMER,,,,,2700000,https://www.twitch.tv/nightblue3,,,,,43
270,Wirtual ,UNITED TALENT AGENCY,paul.coggiola@unitedtalent.com,,USA,GAMER,,,,,410000,https://www.twitch.tv/wirtual,,,,,43
271,Danny Aarons,DIGITAL SPORTS MANAGEMENT,Curtis@digitalsportsmgmt.com,FIFA,UK,GAMER,337000,https://www.instagram.com/dannyaaronsfut/,1370000,https://www.youtube.com/@DannyAarons/featured,682000,https://www.twitch.tv/dannyaarons,1200000,https://www.tiktok.com/@dannyaaronsfut,,,43
272,Symfuhny,LOADED,yoni@loaded.gg,CALL OF DUTY,USA,GAMER,2300000,https://www.instagram.com/symfuhny/,1020000,https://www.youtube.com/channel/UCd8NFPdgSZcQth4fcQZulEQ,3900000,https://www.twitch.tv/symfuhny,,,933900,https://twitter.com/symfuhny,43
273,"Lincoln Lau ""fnx""",FALLEN,thiagopereira@fallen.gg,CS,BRAZIL,GAMER,974000,https://www.instagram.com/linfnx/?hl=pt-br,,,657000,https://www.twitch.tv/fnxlntc,,,610800,https://twitter.com/linfnx?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,43
274,"Fernando ""Fer"" ",FALLEN,thiagopereira@fallen.gg,"CS - - multi-time esports champion, having won two Counter-Strike Majors. With an excellent network reach and is recognized worldwide as one of South America's and world most famous pro players.",BRAZIL,GAMER,424000,https://www.instagram.com/fergod/?hl=pt-br,,,695000,https://www.twitch.tv/fer,,,671800,https://twitter.com/fer?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,43
275,Jinny,UNITED TALENT AGENCY,paul.coggiola@unitedtalent.com,Most popular IRL streamer in the world,SOUTH KOREA,GAMER,340000,http://instagram.com/yyj0728,369000,http://youtube.com/channel/UC8fDTDebMOF9lF8nD7b0EZw,974200,https://www.twitch.tv/jinnytty,215600,https://www.tiktok.com/@jinnytty0728,98100,https://twitter.com/Jinnytty1,43
276,Nolan Hansen,NIGHT MEDIA,ibrahim@night.co,Nolan is one of the core members of the Mr. Beast crew - he has garnered 100s of millions of views through his own personal short form content,USA,GAMER,1100000,https://www.instagram.com/nolanhansen/,557000,https://www.youtube.com/@NolanHansen,,,984300,https://www.tiktok.com/@nolangames?lang=en,,,43
277,Slogo,OP MEDIA AGENCY,James.Humphrys@opmedia.agency,,USA,GAMER,,,,,,,,,,,43
278,Faze Apex,,business@apexamis.com,,USA,GAMER,,,,,,,,,,,43
279,Nickmercs,THE KINETIC,justin@thekinetic.co,,USA,GAMER,,,,,,,,,,,43
280,Scump,UNDERSCORE TALENT,bill@underscoretalent.com,,USA,GAMER,,,,,,,,,,,43
281,Lachlan,LACHLAN GROUP,billy@lclngroup.com,,AUSTRALIA,GAMER,,,,,,,,,,,43
282,TheMainManSWE (Adrian Levander),,themainman.tekken@gmail.com,,SWEDEN,GAMER,,,,,,,,,,,43
283,Yassuo (Moe Abdelrahman),NIGHT MEDIA,ibrahim@night.co,,USA,GAMER,,,,,,,,,,,43
284,Gabriel “FalleN” Toledo,FALLEN,thiagopereira@fallen.gg,,BRAZIL,GAMER,,,,,,,,,,,43
285,TSM_ImperialHal (Philip Dosen),UNITED TALENT AGENCY,paul.coggiola@unitedtalent.com,,USA,GAMER,,,,,,,,,,,43
286,Emongg (Jeff Anderson),UNITED TALENT AGENCY,paul.coggiola@unitedtalent.com,,USA,GAMER,,,,,,,,,,,43
287,Flats,UNITED TALENT AGENCY,paul.coggiola@unitedtalent.com,,USA,GAMER,,,,,,,,,,,43
288,KarQ (Nathan Chan),UNITED TALENT AGENCY,johnny.tran@unitedtalent.com,,USA,GAMER,,,,,,,,,,,43
289,Just NS,,srakleshrak@gmail.com,,RUSSIA,GAMER,,,,,,,,,,,43
290,Loud Coringa,LOUD,leonardo.caires@loud.gg,,USA,GAMER,,,,,,,,,,,43
291,Baiano,OMELETE COMPANY,gabriel.araujo@omeletecompany.com,,BRAZIL,GAMER,,,,,,,,,,,43
